Date,Day of the Week,Amount,Description,Category ,Method of Payment,Need/Want/Saving
01/22/24,Monday,45,Gas,Travel,Debit,Need
01/22/24,Monday,17,Parking,Bills,Debit,Need
01/23/24,Tuesday,2,Vending,Food,Debit,Want
01/24/24,Thursday,5,Coffee,Food,Debit,Want
01/27/24,Saturday,15,Gym Membership,Bills,Debit,Want
01/28/24,Sunday,4,Water Bottle,Food,Debit,Want
01/29/24,Monday,106,Concert,Entertainment and Recreation,Debit,Want
01/29/24,Monday,2,Parking,Travel,Debit,Want
01/31/24,Wednesday,32,Gas,Travel,Debit,Want
02/01/24,Thursday,4,Energy Drink,Food,Debit,Want
02/01/24,Thursday,4,Sandwich,Food,Debit,Want
02/01/24,Thursday,700,Flight Ticket,Travel,Debit,Want
02/02/24,Friday,38,Gas,Travel,Debit,Need
02/03/24,Saturday,6,Coffee,Food,Debit,Want
